id,doctor_id,clinic_id,date,time,duration,status
1,1,1,2025-04-16,9:00,30,available
2,1,1,2025-04-16,9:30,30,available
3,1,1,2025-04-16,10:00,30,available
4,1,1,2025-04-16,10:30,30,available
5,1,1,2025-04-16,11:00,30,available
6,1,1,2025-04-16,11:30,30,available
7,1,1,2025-04-16,13:00,30,available
8,1,1,2025-04-16,13:30,30,available
9,1,1,2025-04-16,14:00,30,available
10,1,1,2025-04-16,14:30,30,available
11,1,1,2025-04-16,15:00,30,available
12,1,1,2025-04-16,15:30,30,available
13,1,1,2025-04-16,16:00,30,available
14,1,1,2025-04-16,16:30,30,available
15,1,1,2025-04-17,9:00,30,available
16,1,1,2025-04-17,9:30,30,available
17,1,1,2025-04-17,10:00,30,available
18,1,1,2025-04-17,10:30,30,available
19,1,1,2025-04-17,11:00,30,available
20,1,1,2025-04-17,11:30,30,available
21,1,1,2025-04-17,13:00,30,available
22,1,1,2025-04-17,13:30,30,available
23,1,1,2025-04-17,14:00,30,available
24,1,1,2025-04-17,14:30,30,available
25,1,1,2025-04-17,15:00,30,available
26,1,1,2025-04-17,15:30,30,available
27,1,1,2025-04-17,16:00,30,available
28,1,1,2025-04-17,16:30,30,available
29,1,1,2025-04-18,9:00,30,available
30,1,1,2025-04-18,9:30,30,available
31,1,1,2025-04-18,10:00,30,available
32,1,1,2025-04-18,10:30,30,available
33,1,1,2025-04-18,11:00,30,available
34,1,1,2025-04-18,11:30,30,available
35,1,1,2025-04-18,13:00,30,available
36,1,1,2025-04-18,13:30,30,available
37,1,1,2025-04-18,14:00,30,available
38,1,1,2025-04-18,14:30,30,available
39,1,1,2025-04-18,15:00,30,available
40,1,1,2025-04-18,15:30,30,available
41,1,1,2025-04-18,16:00,30,available
42,1,1,2025-04-18,16:30,30,available
43,1,1,2025-04-19,9:00,30,available
44,1,1,2025-04-19,9:30,30,available
45,1,1,2025-04-19,10:00,30,available
46,1,1,2025-04-19,10:30,30,available
47,1,1,2025-04-19,11:00,30,available
48,1,1,2025-04-19,11:30,30,available
49,1,1,2025-04-19,13:00,30,available
50,1,1,2025-04-19,13:30,30,available
51,1,1,2025-04-19,14:00,30,available
52,1,1,2025-04-19,14:30,30,available
53,1,1,2025-04-19,15:00,30,available
54,1,1,2025-04-19,15:30,30,available
55,1,1,2025-04-19,16:00,30,available
56,1,1,2025-04-19,16:30,30,available
57,1,1,2025-04-20,9:00,30,available
58,1,1,2025-04-20,9:30,30,available
59,1,1,2025-04-20,10:00,30,available
60,1,1,2025-04-20,10:30,30,available
61,1,1,2025-04-20,11:00,30,available
62,1,1,2025-04-20,11:30,30,available
63,1,1,2025-04-20,13:00,30,available
64,1,1,2025-04-20,13:30,30,available
65,1,1,2025-04-20,14:00,30,available
66,1,1,2025-04-20,14:30,30,available
67,1,1,2025-04-20,15:00,30,available
68,1,1,2025-04-20,15:30,30,available
69,1,1,2025-04-20,16:00,30,available
70,1,1,2025-04-20,16:30,30,available
71,1,1,2025-04-21,9:00,30,available
72,1,1,2025-04-21,9:30,30,available
73,1,1,2025-04-21,10:00,30,available
74,1,1,2025-04-21,10:30,30,available
75,1,1,2025-04-21,11:00,30,available
76,1,1,2025-04-21,11:30,30,available
77,1,1,2025-04-21,13:00,30,available
78,1,1,2025-04-21,13:30,30,available
79,1,1,2025-04-21,14:00,30,available
80,1,1,2025-04-21,14:30,30,available
81,1,1,2025-04-21,15:00,30,available
82,1,1,2025-04-21,15:30,30,available
83,1,1,2025-04-21,16:00,30,available
84,1,1,2025-04-21,16:30,30,available
85,1,1,2025-04-22,9:00,30,available
86,1,1,2025-04-22,9:30,30,available
87,1,1,2025-04-22,10:00,30,available
88,1,1,2025-04-22,10:30,30,available
89,1,1,2025-04-22,11:00,30,available
90,1,1,2025-04-22,11:30,30,available
91,1,1,2025-04-22,13:00,30,available
92,1,1,2025-04-22,13:30,30,available
93,1,1,2025-04-22,14:00,30,available
94,1,1,2025-04-22,14:30,30,available
95,1,1,2025-04-22,15:00,30,available
96,1,1,2025-04-22,15:30,30,available
97,1,1,2025-04-22,16:00,30,available
98,1,1,2025-04-22,16:30,30,available
99,1,1,2025-04-23,9:00,30,available
100,1,1,2025-04-23,9:30,30,available
101,1,1,2025-04-23,10:00,30,available
102,1,1,2025-04-23,10:30,30,available
103,1,1,2025-04-23,11:00,30,available
104,1,1,2025-04-23,11:30,30,available
105,1,1,2025-04-23,13:00,30,available
106,1,1,2025-04-23,13:30,30,available
107,1,1,2025-04-23,14:00,30,available
108,1,1,2025-04-23,14:30,30,available
109,1,1,2025-04-23,15:00,30,available
110,1,1,2025-04-23,15:30,30,available
111,1,1,2025-04-23,16:00,30,available
112,1,1,2025-04-23,16:30,30,available
113,1,1,2025-04-24,9:00,30,available
114,1,1,2025-04-24,9:30,30,available
115,1,1,2025-04-24,10:00,30,available
116,1,1,2025-04-24,10:30,30,available
117,1,1,2025-04-24,11:00,30,available
118,1,1,2025-04-24,11:30,30,available
119,1,1,2025-04-24,13:00,30,available
120,1,1,2025-04-24,13:30,30,available
121,1,1,2025-04-24,14:00,30,available
122,1,1,2025-04-24,14:30,30,available
123,1,1,2025-04-24,15:00,30,available
124,1,1,2025-04-24,15:30,30,available
125,1,1,2025-04-24,16:00,30,available
126,1,1,2025-04-24,16:30,30,available
127,1,1,2025-04-25,9:00,30,available
128,1,1,2025-04-25,9:30,30,available
129,1,1,2025-04-25,10:00,30,available
130,1,1,2025-04-25,10:30,30,available
131,1,1,2025-04-25,11:00,30,available
132,1,1,2025-04-25,11:30,30,available
133,1,1,2025-04-25,13:00,30,available
134,1,1,2025-04-25,13:30,30,available
135,1,1,2025-04-25,14:00,30,available
136,1,1,2025-04-25,14:30,30,available
137,1,1,2025-04-25,15:00,30,available
138,1,1,2025-04-25,15:30,30,available
139,1,1,2025-04-25,16:00,30,available
140,1,1,2025-04-25,16:30,30,available
141,1,1,2025-04-26,9:00,30,available
142,1,1,2025-04-26,9:30,30,available
143,1,1,2025-04-26,10:00,30,available
144,1,1,2025-04-26,10:30,30,available
145,1,1,2025-04-26,11:00,30,available
146,1,1,2025-04-26,11:30,30,available
147,1,1,2025-04-26,13:00,30,available
148,1,1,2025-04-26,13:30,30,available
149,1,1,2025-04-26,14:00,30,available
150,1,1,2025-04-26,14:30,30,available
151,1,1,2025-04-26,15:00,30,available
152,1,1,2025-04-26,15:30,30,available
153,1,1,2025-04-26,16:00,30,available
154,1,1,2025-04-26,16:30,30,available
155,1,1,2025-04-27,9:00,30,available
156,1,1,2025-04-27,9:30,30,available
157,1,1,2025-04-27,10:00,30,available
158,1,1,2025-04-27,10:30,30,available
159,1,1,2025-04-27,11:00,30,available
160,1,1,2025-04-27,11:30,30,available
161,1,1,2025-04-27,13:00,30,available
162,1,1,2025-04-27,13:30,30,available
163,1,1,2025-04-27,14:00,30,available
164,1,1,2025-04-27,14:30,30,available
165,1,1,2025-04-27,15:00,30,available
166,1,1,2025-04-27,15:30,30,available
167,1,1,2025-04-27,16:00,30,available
168,1,1,2025-04-27,16:30,30,available
169,1,1,2025-04-28,9:00,30,available
170,1,1,2025-04-28,9:30,30,available
171,1,1,2025-04-28,10:00,30,available
172,1,1,2025-04-28,10:30,30,available
173,1,1,2025-04-28,11:00,30,available
174,1,1,2025-04-28,11:30,30,available
175,1,1,2025-04-28,13:00,30,available
176,1,1,2025-04-28,13:30,30,available
177,1,1,2025-04-28,14:00,30,available
178,1,1,2025-04-28,14:30,30,available
179,1,1,2025-04-28,15:00,30,available
